#TYPE Selected.System.Management.Automation.PSCustomObject
"Loop","Index","FrequencyChanges","NewFrequency"
"1","88","+16","217"
"1","89","+8","225"
"1","90","-10","215"
"1","91","+8","223"
"1","92","-19","204"
"1","93","+17","221"
"1","94","-9","212"
"1","95","+8","220"
"1","96","-2","218"
"1","97","+18","236"
"1","98","+9","245"
"1","99","+1","246"
"1","100","+10","256"
"1","101","-14","242"
"1","102","+6","248"
"1","103","+2","250"
"1","104","+2","252"
"1","105","-15","237"
"1","106","-15","222"
"1","107","-6","216"
"1","108","+11","227"
"1","109","+16","243"
"1","110","-8","235"
"1","111","+14","249"
"1","112","-18","231"
"1","113","-12","219"
"1","114","+14","233"
"1","115","+7","240"
"1","116","-1","239"
"1","117","-13","226"
"1","118","-18","208"
"1","119","-13","195"
"1","120","+5","200"
"1","121","-3","197"
"1","122","-18","179"
"1","123","+7","186"
"1","124","-2","184"
"1","125","-2","182"
"1","126","+6","188"
"1","127","-12","176"
"1","128","+15","191"
"1","129","+1","192"
"1","130","+18","210"
"1","131","-8","202"
"1","132","+22","224"
"1","133","+6","230"
"1","134","-1","229"
"1","135","+9","238"
"1","136","+9","247"
"1","137","+17","264"
"1","138","+18","282"
"1","139","+9","291"
"1","140","+13","304"
"1","141","-8","296"
"1","142","-17","279"
"1","143","+16","295"
"1","144","+16","311"
"1","145","+12","323"
"1","146","-11","312"
"1","147","-6","306"
"1","148","-9","297"
"1","149","+13","310"
"1","150","+11","321"
"1","151","-8","313"
"1","152","-12","301"
"1","153","+8","309"
"1","154","-10","299"
"1","155","+17","316"
"1","156","-13","303"
"1","157","-17","286"
"1","158","+7","293"
"1","159","-10","283"
"1","160","-3","280"
"1","161","+4","284"
"1","162","+1","285"
"1","163","-11","274"
"1","164","+3","277"
"1","165","-6","271"
"1","166","+19","290"
"1","167","+4","294"
"1","168","+13","307"
"1","169","+1","308"
"1","170","+11","319"
"1","171","+6","325"
"1","172","-3","322"
"1","173","+16","338"
"1","174","+8","346"
"1","175","+1","347"
"1","176","+17","364"
"1","177","-10","354"
"1","178","+18","372"
"1","179","-3","369"
"1","180","-7","362"
"1","181","+20","382"
"1","182","+4","386"
"1","183","+1","387"
"1","184","-8","379"
"1","185","+1","380"
"1","186","-2","378"
"1","187","+12","390"
"1","188","-1","389"
"1","189","+8","397"
"1","190","+8","405"
"1","191","+18","423"
"1","192","-10","413"
"1","193","+6","419"
"1","194","-16","403"
"1","195","+1","404"
"1","196","-3","401"
"1","197","+10","411"
"1","198","-11","400"
"1","199","-1","399"
"1","200","-5","394"
"1","201","+15","409"
"1","202","-11","398"
"1","203","-10","388"
"1","204","+18","406"
"1","205","+4","410"
"1","206","+8","418"
"1","207","+14","432"
"1","208","+6","438"
"1","209","+16","454"
"1","210","+12","466"
"1","211","+2","468"
"1","212","-19","449"
"1","213","+18","467"
"1","214","-5","462"
"1","215","-16","446"
"1","216","-10","436"
"1","217","-7","429"
"1","218","-3","426"
"1","219","+13","439"
"1","220","+14","453"
"1","221","+16","469"
"1","222","+13","482"
"1","223","-12","470"
"1","224","+15","485"
"1","225","+8","493"
"1","226","+17","510"
"1","227","+10","520"
"1","228","+7","527"
"1","229","+6","533"
"1","230","+17","550"
"1","231","+19","569"
"1","232","+19","588"
"1","233","-16","572"
"1","234","+10","582"
"1","235","+4","586"
"1","236","-16","570"
"1","237","-14","556"
"1","238","+8","564"
"1","239","+7","571"
"1","240","-22","549"
"1","241","-8","541"
"1","242","-19","522"
"1","243","+13","535"
"1","244","+12","547"
"1","245","-18","529"
"1","246","-21","508"
"1","247","+10","518"
"1","248","-12","506"
"1","249","-2","504"
"1","250","-12","492"
"1","251","-11","481"
"1","252","-16","465"
"1","253","-20","445"
"1","254","+6","451"
"1","255","-3","448"
"1","256","+2","450"
"1","257","-16","434"
"1","258","+9","443"
"1","259","-13","430"
"1","260","+1","431"
"1","261","+2","433"
"1","262","-13","420"
"1","263","+15","435"
"1","264","+9","444"
"1","265","-7","437"
"1","266","+22","459"
"1","267","-2","457"
"1","268","+18","475"
"1","269","+5","480"
"1","270","+4","484"
"1","271","-20","464"
"1","272","+14","478"
"1","273","-17","461"
"1","274","-19","442"
"1","275","+16","458"
"1","276","-6","452"
"1","277","+19","471"
"1","278","+1","472"
"1","279","+5","477"
"1","280","+24","501"
"1","281","+11","512"
"1","282","-16","496"
"1","283","+15","511"
"1","284","+13","524"
"1","285","+15","539"
"1","286","-3","536"
"1","287","-5","531"
"1","288","-17","514"
"1","289","-1","513"
"1","290","+8","521"
"1","291","+5","526"
"1","292","-10","516"
"1","293","+9","525"
"1","294","-2","523"
"1","295","+7","530"
"1","296","-11","519"
"1","297","-17","502"
"1","298","-13","489"
"1","299","-1","488"
"1","300","-9","479"
"1","301","+4","483"
"1","302","-10","473"
"1","303","-26","447"
"1","304","-22","425"
"1","305","+16","441"
"1","306","+14","455"
"1","307","+21","476"
"1","308","-20","456"
"1","309","+43","499"
"1","310","+8","507"
"1","311","-12","495"
"1","312","+2","497"
"1","313","-7","490"
"1","314","+15","505"
"1","315","+12","517"
"1","316","+17","534"
"1","317","+12","546"
"1","318","-18","528"
"1","319","+16","544"
"1","320","-12","532"
"1","321","+13","545"
"1","322","+8","553"
"1","323","+14","567"
"1","324","-12","555"
"1","325","+26","581"
"1","326","-6","575"
"1","327","+18","593"
"1","328","-3","590"
"1","329","-7","583"
"1","330","+19","602"
"1","331","-5","597"
"1","332","+13","610"
"1","333","+12","622"
"1","334","-14","608"
"1","335","-7","601"
"1","336","-14","587"
"1","337","+13","600"
"1","338","+13","613"
"1","339","-18","595"
"1","340","-6","589"
"1","341","+3","592"
"1","342","-12","580"
"1","343","+5","585"
"1","344","-20","565"
"1","345","+19","584"
"1","346","-11","573"
"1","347","-7","566"
"1","348","-15","551"
"1","349","-11","540"
"1","350","+12","552"
"1","351","-14","538"
"1","352","+24","562"
"1","353","-1","561"
"1","354","+18","579"
"1","355","+24","603"
"1","356","-9","594"
"1","357","+11","605"
"1","358","+9","614"
"1","359","-3","611"
"1","360","+8","619"
"1","361","-21","598"
"1","362","+1","599"
"1","363","+17","616"
"1","364","+1","617"
"1","365","+4","621"
"1","366","+20","641"
"1","367","-12","629"
"1","368","-5","624"
"1","369","+23","647"
"1","370","-9","638"
"1","371","+6","644"
"1","372","-12","632"
"1","373","-36","596"
"1","374","+13","609"
"1","375","-3","606"
"1","376","+33","639"
"1","377","-2","637"
"1","378","+9","646"
"1","379","+11","657"
"1","380","+23","680"
"1","381","-18","662"
"1","382","+22","684"
"1","383","-11","673"
"1","384","+14","687"
"1","385","+9","696"
"1","386","+8","704"
"1","387","-12","692"
"1","388","+5","697"
"1","389","-3","694"
"1","390","-3","691"
"1","391","+8","699"
"1","392","+16","715"
"1","393","+6","721"
"1","394","-18","703"
"1","395","+10","713"
"1","396","-18","695"
"1","397","-6","689"
"1","398","-1","688"
"1","399","-2","686"
"1","400","+24","710"
"1","401","-17","693"
"1","402","+23","716"
"1","403","+16","732"
"1","404","-9","723"
"1","405","+10","733"
"1","406","+23","756"
"1","407","-10","746"
"1","408","+2","748"
"1","409","+2","750"
"1","410","-9","741"
"1","411","+13","754"
"1","412","+3","757"
"1","413","+18","775"
"1","414","+12","787"
"1","415","+15","802"
"1","416","+16","818"
"1","417","-3","815"
"1","418","-7","808"
"1","419","-7","801"
"1","420","-5","796"
"1","421","+9","805"
"1","422","+1","806"
"1","423","-3","803"
"1","424","-19","784"
"1","425","-7","777"
"1","426","+17","794"
"1","427","+3","797"
"1","428","+13","810"
"1","429","+25","835"
"1","430","-4","831"
"1","431","-1","830"
"1","432","-19","811"
"1","433","-7","804"
"1","434","+15","819"
"1","435","-21","798"
"1","436","+43","841"
"1","437","+17","858"
"1","438","+5","863"
"1","439","+19","882"
"1","440","+10","892"
"1","441","+14","906"
"1","442","-15","891"
"1","443","-12","879"
"1","444","+19","898"
"1","445","+19","917"
"1","446","-16","901"
"1","447","-7","894"
"1","448","-7","887"
"1","449","-15","872"
"1","450","+6","878"
"1","451","-8","870"
"1","452","+18","888"
"1","453","+12","900"
"1","454","-7","893"
"1","455","-18","875"
"1","456","+9","884"
"1","457","+18","902"
"1","458","+16","918"
"1","459","-23","895"
"1","460","-18","877"
"1","461","-3","874"
"1","462","+12","886"
"1","463","-15","871"
"1","464","+9","880"
"1","465","+3","883"
"1","466","-14","869"
"1","467","+16","885"
"1","468","+18","903"
"1","469","+13","916"
"1","470","+19","935"
"1","471","-1","934"
"1","472","+11","945"
"1","473","+14","959"
"1","474","-4","955"
"1","475","-16","939"
"1","476","+11","950"
"1","477","-12","938"
"1","478","+27","965"
"1","479","-1","964"
"1","480","-13","951"
"1","481","+9","960"
"1","482","+7","967"
"1","483","-9","958"
"1","484","-1","957"
"1","485","+14","971"
"1","486","-35","936"
"1","487","-28","908"
"1","488","+1","909"
"1","489","+4","913"
"1","490","+15","928"
"1","491","-18","910"
"1","492","+10","920"
"1","493","-6","914"
"1","494","+12","926"
"1","495","-2","924"
"1","496","-5","919"
"1","497","-23","896"
"1","498","+31","927"
"1","499","-23","904"
"1","500","-37","867"
"1","501","+6","873"
"1","502","-13","860"
"1","503","-3","857"
"1","504","+4","861"
"1","505","+38","899"
"1","506","-23","876"
"1","507","-28","848"
"1","508","-24","824"
"1","509","-15","809"
"1","510","+4","813"
"1","511","+3","816"
"1","512","-16","800"
"1","513","+32","832"
"1","514","+13","845"
"1","515","-24","821"
"1","516","-9","812"
"1","517","-41","771"
"1","518","-41","730"
"1","519","-13","717"
"1","520","-41","676"
"1","521","-17","659"
"1","522","+16","675"
"1","523","-3","672"
"1","524","-36","636"
"1","525","-136","500"
"1","526","-9","491"
"1","527","+7","498"
"1","528","-4","494"
"1","529","-54","440"
"1","530","+20","460"
"1","531","+3","463"
"1","532","+11","474"
"1","533","+13","487"
"1","534","+16","503"
"1","535","+6","509"
"1","536","+6","515"
"1","537","-29","486"
"1","538","-118","368"
"1","539","-68","300"
"1","540","-416","-116"
"1","541","-393","-509"
"1","542","-73804","-74313"
"1","543","+17","-74296"
"1","544","+8","-74288"
"1","545","-14","-74302"
"1","546","+12","-74290"
"1","547","-22","-74312"
"1","548","-19","-74331"
"1","549","-7","-74338"
"1","550","-3","-74341"
"1","551","-14","-74355"
"1","552","+8","-74347"
"1","553","-3","-74350"
"1","554","-3","-74353"
"1","555","+16","-74337"
"1","556","-14","-74351"
"1","557","+5","-74346"
"1","558","-19","-74365"
"1","559","+16","-74349"
"1","560","+15","-74334"
"1","561","+8","-74326"
"1","562","+11","-74315"
"1","563","-14","-74329"
"1","564","-13","-74342"
"1","565","+3","-74339"
"1","566","+14","-74325"
"1","567","-15","-74340"
"1","568","+19","-74321"
"1","569","+26","-74295"
"1","570","+8","-74287"
"1","571","-11","-74298"
"1","572","-12","-74310"
"1","573","+17","-74293"
"1","574","-12","-74305"
"1","575","-12","-74317"
"1","576","+20","-74297"
"1","577","+22","-74275"
"1","578","+13","-74262"
"1","579","+14","-74248"
"1","580","+13","-74235"
"1","581","-3","-74238"
"1","582","-2","-74240"
"1","583","-1","-74241"
"1","584","-4","-74245"
"1","585","-16","-74261"
"1","586","+7","-74254"
"1","587","+12","-74242"
"1","588","+18","-74224"
"1","589","-15","-74239"
"1","590","-11","-74250"
"1","591","+7","-74243"
"1","592","-15","-74258"
"1","593","+11","-74247"
"1","594","+16","-74231"
"1","595","+13","-74218"
"1","596","+16","-74202"
"1","597","-2","-74204"
"1","598","-9","-74213"
"1","599","-4","-74217"
"1","600","+6","-74211"
"1","601","-8","-74219"
"1","602","-27","-74246"
"1","603","+16","-74230"
"1","604","-7","-74237"
"1","605","+87","-74150"
"1","606","+17","-74133"
"1","607","+11","-74122"
"1","608","-12","-74134"
"1","609","-2","-74136"
"1","610","+11","-74125"
"1","611","-13","-74138"
"1","612","-9","-74147"
"1","613","-10","-74157"
"1","614","-21","-74178"
"1","615","+15","-74163"
"1","616","-23","-74186"
"1","617","-15","-74201"
"1","618","+13","-74188"
"1","619","+11","-74177"
"1","620","+37","-74140"
"1","621","+16","-74124"
"1","622","+22","-74102"
"1","623","+16","-74086"
"1","624","+12","-74074"
"1","625","+18","-74056"
"1","626","-9","-74065"
"1","627","-8","-74073"
"1","628","+19","-74054"
"1","629","-5","-74059"
"1","630","-4","-74063"
"1","631","+13","-74050"
"1","632","+8","-74042"
"1","633","+4","-74038"
"1","634","-9","-74047"
"1","635","+4","-74043"
"1","636","+9","-74034"
"1","637","+4","-74030"
"1","638","-19","-74049"
"1","639","-2","-74051"
"1","640","-11","-74062"
"1","641","-2","-74064"
"1","642","+16","-74048"
"1","643","+17","-74031"
"1","644","+6","-74025"
"1","645","-8","-74033"
"1","646","+19","-74014"
"1","647","-2","-74016"
"1","648","+6","-74010"
"1","649","+2","-74008"
"1","650","-10","-74018"
"1","651","+12","-74006"
"1","652","+6","-74000"
"1","653","-20","-74020"
"1","654","-6","-74026"
"1","655","+5","-74021"
"1","656","+14","-74007"
"1","657","+12","-73995"
"1","658","+20","-73975"
"1","659","-21","-73996"
"1","660","+22","-73974"
"1","661","-2","-73976"
"1","662","+9","-73967"
"1","663","-2","-73969"
"1","664","-14","-73983"
"1","665","-15","-73998"
"1","666","+14","-73984"
"1","667","+7","-73977"
"1","668","-2","-73979"
"1","669","+9","-73970"
"1","670","-19","-73989"
"1","671","-52","-74041"
"1","672","-20","-74061"
"1","673","+4","-74057"
"1","674","-1","-74058"
"1","675","-18","-74076"
"1","676","+9","-74067"
"1","677","+7","-74060"
"1","678","-17","-74077"
"1","679","-22","-74099"
"1","680","-20","-74119"
"1","681","-7","-74126"
"1","682","-2","-74128"
"1","683","-9","-74137"
"1","684","+8","-74129"
"1","685","-3","-74132"
"1","686","+11","-74121"
"1","687","+18","-74103"
"1","688","-7","-74110"
"1","689","+17","-74093"
"1","690","+22","-74071"
"1","691","-18","-74089"
"1","692","-15","-74104"
"1","693","-19","-74123"
"1","694","-8","-74131"
"1","695","+13","-74118"
"1","696","+3","-74115"
"1","697","-15","-74130"
"1","698","+17","-74113"
"1","699","-3","-74116"
"1","700","-43","-74159"
"1","701","-34","-74193"
"1","702","+9","-74184"
"1","703","-37","-74221"
"1","704","+41","-74180"
"1","705","+141","-74039"
"1","706","-16","-74055"
"1","707","+19","-74036"
"1","708","-10","-74046"
"1","709","+14","-74032"
"1","710","+4","-74028"
"1","711","-7","-74035"
"1","712","-17","-74052"
"1","713","+12","-74040"
"1","714","+23","-74017"
"1","715","+2","-74015"
"1","716","+16","-73999"
"1","717","+36","-73963"
"1","718","-61","-74024"
"1","719","-253","-74277"
"1","720","-41","-74318"
"1","721","-44","-74362"
"1","722","-17","-74379"
"1","723","+10","-74369"
"1","724","-9","-74378"
"1","725","-5","-74383"
"1","726","+15","-74368"
"1","727","+20","-74348"
"1","728","+16","-74332"
"1","729","-4","-74336"
"1","730","+3","-74333"
"1","731","-12","-74345"
"1","732","+21","-74324"
"1","733","-11","-74335"
"1","734","-9","-74344"
"1","735","+16","-74328"
"1","736","-24","-74352"
"1","737","-12","-74364"
"1","738","+5","-74359"
"1","739","-2","-74361"
"1","740","-6","-74367"
"1","741","-18","-74385"
"1","742","-15","-74400"
"1","743","+16","-74384"
"1","744","-10","-74394"
"1","745","-5","-74399"
"1","746","-4","-74403"
"1","747","+8","-74395"
"1","748","+6","-74389"
"1","749","-20","-74409"
"1","750","-3","-74412"
"1","751","-19","-74431"
"1","752","+7","-74424"
"1","753","+4","-74420"
"1","754","-3","-74423"
"1","755","-11","-74434"
"1","756","+20","-74414"
"1","757","+4","-74410"
"1","758","+17","-74393"
"1","759","-3","-74396"
"1","760","-5","-74401"
"1","761","-3","-74404"
"1","762","+6","-74398"
"1","763","-4","-74402"
"1","764","-16","-74418"
"1","765","-15","-74433"
"1","766","+3","-74430"
"1","767","+19","-74411"
"1","768","-18","-74429"
"1","769","+16","-74413"
"1","770","-9","-74422"
"1","771","+17","-74405"
"1","772","+15","-74390"
"1","773","-25","-74415"
"1","774","-12","-74427"
"1","775","-17","-74444"
"1","776","-17","-74461"
"1","777","-4","-74465"
"1","778","+13","-74452"
"1","779","-15","-74467"
"1","780","+4","-74463"
"1","781","+17","-74446"
"1","782","-7","-74453"
"1","783","+13","-74440"
"1","784","-18","-74458"
"1","785","+4","-74454"
"1","786","+3","-74451"
"1","787","+10","-74441"
"1","788","+5","-74436"
"1","789","-1","-74437"
"1","790","+12","-74425"
"1","791","+9","-74416"
"1","792","-19","-74435"
"1","793","+16","-74419"
"1","794","+2","-74417"
"1","795","-11","-74428"
"1","796","-14","-74442"
"1","797","-14","-74456"
"1","798","-14","-74470"
"1","799","-2","-74472"
"1","800","+6","-74466"
"1","801","-3","-74469"
"1","802","+1","-74468"
"1","803","-15","-74483"
"1","804","+3","-74480"
"1","805","+2","-74478"
"1","806","-11","-74489"
"1","807","-9","-74498"
"1","808","+4","-74494"
"1","809","-3","-74497"
"1","810","+13","-74484"
"1","811","-1","-74485"
"1","812","-20","-74505"
"1","813","-19","-74524"
"1","814","-13","-74537"
"1","815","-8","-74545"
"1","816","-1","-74546"
"1","817","+13","-74533"
"1","818","+8","-74525"
"1","819","+9","-74516"
"1","820","+2","-74514"
"1","821","+6","-74508"
"1","822","+8","-74500"
"1","823","-9","-74509"
"1","824","-20","-74529"
"1","825","-5","-74534"
"1","826","+11","-74523"
"1","827","+20","-74503"
"1","828","+2","-74501"
"1","829","+9","-74492"
"1","830","+15","-74477"
"1","831","+17","-74460"
"1","832","+3","-74457"
"1","833","+18","-74439"
"1","834","-20","-74459"
"1","835","-3","-74462"
"1","836","+7","-74455"
"1","837","+8","-74447"
"1","838","+15","-74432"
"1","839","-6","-74438"
"1","840","-10","-74448"
"1","841","-16","-74464"
"1","842","+19","-74445"
"1","843","+2","-74443"
"1","844","-32","-74475"
"1","845","-7","-74482"
"1","846","-11","-74493"
"1","847","+3","-74490"
"1","848","+11","-74479"
"1","849","-25","-74504"
"1","850","-11","-74515"
"1","851","+16","-74499"
"1","852","-3","-74502"
"1","853","+16","-74486"
"1","854","-35","-74521"
"1","855","+10","-74511"
"1","856","+16","-74495"
"1","857","+24","-74471"
"1","858","-3","-74474"
"1","859","+1","-74473"
"1","860","-15","-74488"
"1","861","-8","-74496"
"1","862","+20","-74476"
"1","863","+27","-74449"
"1","864","+23","-74426"
"1","865","+20","-74406"
"1","866","-1","-74407"
"1","867","-14","-74421"
"1","868","+34","-74387"
"1","869","+14","-74373"
"1","870","+3","-74370"
"1","871","-18","-74388"
"1","872","+6","-74382"
"1","873","+10","-74372"
"1","874","+9","-74363"
"1","875","-18","-74381"
"1","876","-27","-74408"
"1","877","-42","-74450"
"1","878","-41","-74491"
"1","879","-37","-74528"
"1","880","-12","-74540"
"1","881","-22","-74562"
"1","882","+15","-74547"
"1","883","+12","-74535"
"1","884","-19","-74554"
"1","885","-18","-74572"
"1","886","+17","-74555"
"1","887","-15","-74570"
"1","888","+18","-74552"
"1","889","-4","-74556"
"1","890","+20","-74536"
"1","891","-12","-74548"
"1","892","+17","-74531"
"1","893","-34","-74565"
"1","894","-23","-74588"
"1","895","-8","-74596"
"1","896","-27","-74623"
"1","897","-4","-74627"
"1","898","-8","-74635"
"1","899","+20","-74615"
"1","900","-10","-74625"
"1","901","-8","-74633"
"1","902","-19","-74652"
"1","903","+8","-74644"
"1","904","-4","-74648"
"1","905","+11","-74637"
"1","906","-1","-74638"
"1","907","-11","-74649"
"1","908","+9","-74640"
"1","909","+1","-74639"
"1","910","-4","-74643"
"1","911","+15","-74628"
"1","912","-6","-74634"
"1","913","+3","-74631"
"1","914","-10","-74641"
"1","915","-10","-74651"
"1","916","-4","-74655"
"1","917","+5","-74650"
"1","918","+28","-74622"
"1","919","-2","-74624"
"1","920","+15","-74609"
"1","921","-21","-74630"
"1","922","+19","-74611"
"1","923","-1","-74612"
"1","924","-6","-74618"
"1","925","-8","-74626"
"1","926","+13","-74613"
"1","927","-44","-74657"
"1","928","+3","-74654"
"1","929","-9","-74663"
"1","930","+3","-74660"
"1","931","-24","-74684"
"1","932","-19","-74703"
"1","933","+17","-74686"
"1","934","-3","-74689"
"1","935","+7","-74682"
"1","936","-16","-74698"
"1","937","+11","-74687"
"1","938","+17","-74670"
"1","939","-27","-74697"
"1","940","-15","-74712"
"1","941","-2","-74714"
"1","942","-11","-74725"
"1","943","-18","-74743"
"1","944","+9","-74734"
"1","945","-6","-74740"
"1","946","-17","-74757"
"1","947","+2","-74755"
"1","948","-16","-74771"
"1","949","+13","-74758"
"1","950","+16","-74742"
"1","951","-9","-74751"
"1","952","+1","-74750"
"1","953","-13","-74763"
"1","954","-5","-74768"
"1","955","-11","-74779"
"1","956","+4","-74775"
"1","957","-2","-74777"
"1","958","+8","-74769"
"1","959","+3","-74766"
"1","960","+25","-74741"
"1","961","+15","-74726"
"1","962","-20","-74746"
"1","963","+7","-74739"
"1","964","+2","-74737"
"1","965","+5","-74732"
"1","966","-3","-74735"
"1","967","-13","-74748"
"1","968","-17","-74765"
"1","969","-5","-74770"
"1","970","-6","-74776"
"1","971","+4","-74772"
"1","972","+20","-74752"
"1","973","+22","-74730"
"1","974","+8","-74722"
"1","975","+18","-74704"
"1","976","-7","-74711"
"1","977","+4","-74707"
"1","978","+13","-74694"
"1","979","-1","-74695"
"1","980","-6","-74701"
"1","981","-14","-74715"
"1","982","-4","-74719"
"1","983","-5","-74724"
"1","984","-25","-74749"
"1","985","+21","-74728"
"1","986","-5","-74733"
"1","987","-20","-74753"
"1","988","+15","-74738"
"1","989","+20","-74718"
"1","990","+1","-74717"
"1","991","+1","-74716"
"1","992","+3","-74713"
"1","993","+5","-74708"
"1","994","+3","-74705"
"1","995","+75248","543"
"2","996","+5","548"
"2","997","-11","537"
"2","998","+17","554"
"2","999","+9","563"
"2","1000","-4","559"
"2","1001","-2","557"
"2","1002","+11","568"
"2","1003","-10","558"
"2","1004","-16","542"
"2","1005","+18","560"
"2","1006","+18","578"
"2","1007","-2","576"
"2","1008","-2","574"
"2","1009","+17","591"
"2","1010","+13","604"
"2","1011","+14","618"
"2","1012","-11","607"
"2","1013","+19","626"
"2","1014","-14","612"
"2","1015","+8","620"
"2","1016","+10","630"
"2","1017","-3","627"
"2","1018","-12","615"
"2","1019","+13","628"
"2","1020","-3","625"
"2","1021","+18","643"
"2","1022","-20","623"
"2","1023","+8","631"
"2","1024","+3","634"
"2","1025","+8","642"
"2","1026","+13","655"
"2","1027","+9","664"
"2","1028","+14","678"
"2","1029","-11","667"
"2","1030","-6","661"
"2","1031","+16","677"
"2","1032","-12","665"
"2","1033","+14","679"
"2","1034","-8","671"
"2","1035","+3","674"
"2","1036","-18","656"
"2","1037","-11","645"
"2","1038","+6","651"
"2","1039","-2","649"
"2","1040","-14","635"
"2","1041","-2","633"
"2","1042","+17","650"
"2","1043","-2","648"
"2","1044","+6","654"
"2","1045","-1","653"
"2","1046","-13","640"
"2","1047","+20","660"
"2","1048","+9","669"
"2","1049","+14","683"
"2","1050","-15","668"
"2","1051","-16","652"
"2","1052","+18","670"
"2","1053","-4","666"
"2","1054","-8","658"
"2","1055","+5","663"
"2","1056","+19","682"
"2","1057","-1","681"
"2","1058","+19","700"
"2","1059","+11","711"
"2","1060","-3","708"
"2","1061","+16","724"
"2","1062","-12","712"
"2","1063","-6","706"
"2","1064","+3","709"
"2","1065","-7","702"
"2","1066","-1","701"
"2","1067","+4","705"
"2","1068","-15","690"
"2","1069","-5","685"
"2","1070","+13","698"
"2","1071","+9","707"
"2","1072","+11","718"
"2","1073","+2","720"
"2","1074","+17","737"
"2","1075","+12","749"
"2","1076","-7","742"
"2","1077","-16","726"
"2","1078","+13","739"
"2","1079","-11","728"
"2","1080","-14","714"
"2","1081","+22","736"
"2","1082","+16","752"
"2","1083","-8","744"
"2","1084","+16","760"
"2","1085","+8","768"
"2","1086","-10","758"
"2","1087","+8","766"
"2","1088","-19","747"
"2","1089","+17","764"
"2","1090","-9","755"
"2","1091","+8","763"
"2","1092","-2","761"
"2","1093","+18","779"
"2","1094","+9","788"
"2","1095","+1","789"
"2","1096","+10","799"
"2","1097","-14","785"
"2","1098","+6","791"
"2","1099","+2","793"
"2","1100","+2","795"
"2","1101","-15","780"
"2","1102","-15","765"
"2","1103","-6","759"
"2","1104","+11","770"
"2","1105","+16","786"
"2","1106","-8","778"
"2","1107","+14","792"
"2","1108","-18","774"
"2","1109","-12","762"
"2","1110","+14","776"
"2","1111","+7","783"
"2","1112","-1","782"
"2","1113","-13","769"
"2","1114","-18","751"
"2","1115","-13","738"
"2","1116","+5","743"
"2","1117","-3","740"
"2","1118","-18","722"
"2","1119","+7","729"
"2","1120","-2","727"
"2","1121","-2","725"
"2","1122","+6","731"
"2","1123","-12","719"
"2","1124","+15","734"
"2","1125","+1","735"
"2","1126","+18","753"
"2","1127","-8","745"
"2","1128","+22","767"
"2","1129","+6","773"
"2","1130","-1","772"
"2","1131","+9","781"
"2","1132","+9","790"
"2","1133","+17","807"
"2","1134","+18","825"
"2","1135","+9","834"
"2","1136","+13","847"
"2","1137","-8","839"
"2","1138","-17","822"
"2","1139","+16","838"
"2","1140","+16","854"
"2","1141","+12","866"
"2","1142","-11","855"
"2","1143","-6","849"
"2","1144","-9","840"
"2","1145","+13","853"
"2","1146","+11","864"
"2","1147","-8","856"
"2","1148","-12","844"
"2","1149","+8","852"
"2","1150","-10","842"
"2","1151","+17","859"
"2","1152","-13","846"
"2","1153","-17","829"
"2","1154","+7","836"
"2","1155","-10","826"
"2","1156","-3","823"
"2","1157","+4","827"
"2","1158","+1","828"
"2","1159","-11","817"
"2","1160","+3","820"
"2","1161","-6","814"
"2","1162","+19","833"
"2","1163","+4","837"
"2","1164","+13","850"
